,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix
0,linear,0.1,,,50,"[47, 14, 9, 25]"
1,linear,0.1,,,100,"[48, 13, 9, 25]"
2,linear,0.1,,,150,"[48, 13, 9, 25]"
3,rbf,0.1,1,,50,"[52, 9, 13, 21]"
4,rbf,0.1,1,,100,"[52, 9, 13, 21]"
5,rbf,0.1,1,,150,"[52, 9, 13, 21]"
6,poly,0.1,1,2,50,"[46, 15, 10, 24]"
7,poly,0.1,1,2,100,"[46, 15, 10, 24]"
8,poly,0.1,1,2,150,"[47, 14, 10, 24]"
9,poly,0.1,1,3,50,"[49, 12, 11, 23]"
10,poly,0.1,1,3,100,"[48, 13, 9, 25]"
11,poly,0.1,1,3,150,"[49, 12, 11, 23]"
12,rbf,0.1,10.0,,50,"[57, 4, 23, 11]"
13,rbf,0.1,10.0,,100,"[57, 4, 23, 11]"
14,rbf,0.1,10.0,,150,"[57, 4, 23, 11]"
15,poly,0.1,10.0,2,50,"[47, 14, 10, 24]"
16,poly,0.1,10.0,2,100,"[47, 14, 11, 23]"
17,poly,0.1,10.0,2,150,"[47, 14, 11, 23]"
18,poly,0.1,10.0,3,50,"[48, 13, 11, 23]"
19,poly,0.1,10.0,3,100,"[48, 13, 11, 23]"
20,poly,0.1,10.0,3,150,"[48, 13, 11, 23]"
21,linear,1.0,,,50,"[47, 14, 9, 25]"
22,linear,1.0,,,100,"[48, 13, 9, 25]"
23,linear,1.0,,,150,"[47, 14, 10, 24]"
24,rbf,1.0,1,,50,"[49, 12, 11, 23]"
25,rbf,1.0,1,,100,"[49, 12, 11, 23]"
26,rbf,1.0,1,,150,"[49, 12, 11, 23]"
27,poly,1.0,1,2,50,"[47, 14, 10, 24]"
28,poly,1.0,1,2,100,"[47, 14, 10, 24]"
29,poly,1.0,1,2,150,"[47, 14, 10, 24]"
30,poly,1.0,1,3,50,"[48, 13, 11, 23]"
31,poly,1.0,1,3,100,"[48, 13, 11, 23]"
32,poly,1.0,1,3,150,"[48, 13, 11, 23]"
33,rbf,1.0,10.0,,50,"[50, 11, 13, 21]"
34,rbf,1.0,10.0,,100,"[50, 11, 12, 22]"
35,rbf,1.0,10.0,,150,"[50, 11, 13, 21]"
36,poly,1.0,10.0,2,50,"[48, 13, 11, 23]"
37,poly,1.0,10.0,2,100,"[49, 12, 11, 23]"
38,poly,1.0,10.0,2,150,"[49, 12, 11, 23]"
39,poly,1.0,10.0,3,50,"[48, 13, 11, 23]"
40,poly,1.0,10.0,3,100,"[48, 13, 11, 23]"
41,poly,1.0,10.0,3,150,"[48, 13, 11, 23]"
42,linear,10.0,,,50,"[47, 14, 9, 25]"
43,linear,10.0,,,100,"[48, 13, 10, 24]"
44,linear,10.0,,,150,"[47, 14, 10, 24]"
45,rbf,10.0,1,,50,"[48, 13, 11, 23]"
46,rbf,10.0,1,,100,"[49, 12, 11, 23]"
47,rbf,10.0,1,,150,"[49, 12, 11, 23]"
48,poly,10.0,1,2,50,"[47, 14, 10, 24]"
49,poly,10.0,1,2,100,"[47, 14, 11, 23]"
50,poly,10.0,1,2,150,"[47, 14, 11, 23]"
51,poly,10.0,1,3,50,"[48, 13, 11, 23]"
52,poly,10.0,1,3,100,"[48, 13, 11, 23]"
53,poly,10.0,1,3,150,"[48, 13, 11, 23]"
54,rbf,10.0,10.0,,50,"[50, 11, 13, 21]"
55,rbf,10.0,10.0,,100,"[50, 11, 12, 22]"
56,rbf,10.0,10.0,,150,"[50, 11, 13, 21]"
57,poly,10.0,10.0,2,50,"[49, 12, 11, 23]"
58,poly,10.0,10.0,2,100,"[49, 12, 11, 23]"
59,poly,10.0,10.0,2,150,"[47, 14, 10, 24]"
60,poly,10.0,10.0,3,50,"[48, 13, 11, 23]"
61,poly,10.0,10.0,3,100,"[48, 13, 11, 23]"
62,poly,10.0,10.0,3,150,"[48, 13, 11, 23]"
63,linear,100.0,,,50,"[47, 14, 10, 24]"
64,linear,100.0,,,100,"[47, 14, 10, 24]"
65,linear,100.0,,,150,"[47, 14, 10, 24]"
66,rbf,100.0,1,,50,"[48, 13, 11, 23]"
67,rbf,100.0,1,,100,"[49, 12, 11, 23]"
68,rbf,100.0,1,,150,"[49, 12, 11, 23]"
69,poly,100.0,1,2,50,"[49, 12, 11, 23]"
70,poly,100.0,1,2,100,"[49, 12, 11, 23]"
71,poly,100.0,1,2,150,"[49, 12, 11, 23]"
72,poly,100.0,1,3,50,"[48, 13, 11, 23]"
73,poly,100.0,1,3,100,"[48, 13, 11, 23]"
74,poly,100.0,1,3,150,"[48, 13, 11, 23]"
75,rbf,100.0,10.0,,50,"[50, 11, 13, 21]"
76,rbf,100.0,10.0,,100,"[50, 11, 12, 22]"
77,rbf,100.0,10.0,,150,"[50, 11, 13, 21]"
78,poly,100.0,10.0,2,50,"[48, 13, 11, 23]"
79,poly,100.0,10.0,2,100,"[48, 13, 10, 24]"
80,poly,100.0,10.0,2,150,"[49, 12, 11, 23]"
81,poly,100.0,10.0,3,50,"[48, 13, 11, 23]"
82,poly,100.0,10.0,3,100,"[48, 13, 11, 23]"
83,poly,100.0,10.0,3,150,"[48, 13, 11, 23]"
84,linear,1000.0,,,50,"[48, 13, 10, 24]"
85,linear,1000.0,,,100,"[48, 13, 9, 25]"
86,linear,1000.0,,,150,"[48, 13, 10, 24]"
87,rbf,1000.0,1,,50,"[48, 13, 11, 23]"
88,rbf,1000.0,1,,100,"[49, 12, 11, 23]"
89,rbf,1000.0,1,,150,"[49, 12, 11, 23]"
90,poly,1000.0,1,2,50,"[48, 13, 12, 22]"
91,poly,1000.0,1,2,100,"[47, 14, 7, 27]"
92,poly,1000.0,1,2,150,"[47, 14, 8, 26]"
93,poly,1000.0,1,3,50,"[48, 13, 11, 23]"
94,poly,1000.0,1,3,100,"[48, 13, 11, 23]"
95,poly,1000.0,1,3,150,"[48, 13, 11, 23]"
96,rbf,1000.0,10.0,,50,"[50, 11, 13, 21]"
97,rbf,1000.0,10.0,,100,"[50, 11, 12, 22]"
98,rbf,1000.0,10.0,,150,"[50, 11, 13, 21]"
99,poly,1000.0,10.0,2,50,"[46, 15, 8, 26]"
100,poly,1000.0,10.0,2,100,"[47, 14, 7, 27]"
101,poly,1000.0,10.0,2,150,"[47, 14, 8, 26]"
102,poly,1000.0,10.0,3,50,"[48, 13, 11, 23]"
103,poly,1000.0,10.0,3,100,"[48, 13, 11, 23]"
104,poly,1000.0,10.0,3,150,"[48, 13, 11, 23]"
